sample	Minutes	Temperature	Lifestyle	Identification	OD_avg	Genus
TS-001	2520	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00325	Apiotrichum
TS-001	2520	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2550	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00362499999999999	Apiotrichum
TS-001	2550	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2580	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0035	Apiotrichum
TS-001	2580	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2610	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00325	Apiotrichum
TS-001	2610	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2640	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00362499999999999	Apiotrichum
TS-001	2640	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2670	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00312499999999999	Apiotrichum
TS-001	2670	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2700	33 °C	Environmental	Apiotrichum akiyoshidainum	0.003	Apiotrichum
TS-001	2700	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2730	33 °C	Environmental	Apiotrichum akiyoshidainum	0.003	Apiotrichum
TS-001	2730	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2760	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00312499999999999	Apiotrichum
TS-001	2760	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2790	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00312499999999999	Apiotrichum
TS-001	2790	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2820	33 °C	Environmental	Apiotrichum akiyoshidainum	0.003	Apiotrichum
TS-001	2820	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2850	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00287499999999999	Apiotrichum
TS-001	2850	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2880	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	2880	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2910	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00325	Apiotrichum
TS-001	2910	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2940	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	2940	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	2970	33 °C	Environmental	Apiotrichum akiyoshidainum	0.003	Apiotrichum
TS-001	2970	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3000	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	3000	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3030	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00237499999999999	Apiotrichum
TS-001	3030	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3060	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	3060	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3090	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3090	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3120	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3120	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3150	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00237499999999999	Apiotrichum
TS-001	3150	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3180	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00237499999999999	Apiotrichum
TS-001	3180	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3210	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	3210	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3240	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	3240	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3270	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3270	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3300	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	3300	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3330	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3330	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3360	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	3360	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3390	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	3390	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3420	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00237499999999999	Apiotrichum
TS-001	3420	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3450	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3450	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3480	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	3480	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3510	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3510	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3540	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00212499999999999	Apiotrichum
TS-001	3540	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3570	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	3570	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3600	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00312499999999999	Apiotrichum
TS-001	3600	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3630	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00287499999999999	Apiotrichum
TS-001	3630	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3660	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	3660	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3690	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	3690	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3720	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00212499999999999	Apiotrichum
TS-001	3720	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3750	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0025	Apiotrichum
TS-001	3750	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3780	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	3780	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3810	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	3810	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3840	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	3840	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3870	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00212499999999999	Apiotrichum
TS-001	3870	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3900	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	3900	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3930	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00225	Apiotrichum
TS-001	3930	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3960	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00287499999999999	Apiotrichum
TS-001	3960	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	3990	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	3990	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
