sample	Temp	TimePoint	Day	Medium	Identification	OD	OD_min	OD_max	Genus	Lifestyle
TS-010	33 °C	T7	7	PD	Cutaneotrichosporon cutaneum	0.7134375	0.5394375	1.0114375	Cutaneotrichosporon	Clinical
TS-010	37 °C	T0	0	PD	Cutaneotrichosporon cutaneum	0.0006875	-0.0053125	0.0066875	Cutaneotrichosporon	Clinical
TS-010	37 °C	T1	1	PD	Cutaneotrichosporon cutaneum	0.0183125	-0.0054375	0.0315625	Cutaneotrichosporon	Clinical
TS-010	37 °C	T2	2	PD	Cutaneotrichosporon cutaneum	0.0149375	-0.0100625	0.0339375	Cutaneotrichosporon	Clinical
TS-010	37 °C	T3	3	PD	Cutaneotrichosporon cutaneum	0.0173125	-0.0044375	0.0265625	Cutaneotrichosporon	Clinical
TS-010	37 °C	T4	4	PD	Cutaneotrichosporon cutaneum	0.0079375	-0.0060625	0.0209375	Cutaneotrichosporon	Clinical
TS-010	37 °C	T5	5	PD	Cutaneotrichosporon cutaneum	0.0123125	-0.0086875	0.0313125	Cutaneotrichosporon	Clinical
TS-010	37 °C	T6	6	PD	Cutaneotrichosporon cutaneum	0.0243125	0.0013125	0.0493125	Cutaneotrichosporon	Clinical
TS-010	37 °C	T7	7	PD	Cutaneotrichosporon cutaneum	0.016125	-0.001125	0.034875	Cutaneotrichosporon	Clinical
TS-012	18 °C	T0	0	PD	Cutaneotrichosporon dermatis	0.00875	0.0025	0.0135	Cutaneotrichosporon	Clinical
TS-012	18 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.002375	-0.001875	0.005125	Cutaneotrichosporon	Clinical
TS-012	18 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.0663125	0.0360625	0.0890625	Cutaneotrichosporon	Clinical
TS-012	18 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.276125	0.233875	0.314875	Cutaneotrichosporon	Clinical
TS-012	18 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.419875	0.328375	0.499375	Cutaneotrichosporon	Clinical
TS-012	18 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.6131875	0.5554375	0.7564375	Cutaneotrichosporon	Clinical
TS-012	18 °C	T6	6	PD	Cutaneotrichosporon dermatis	0.669875	0.504125	0.780125	Cutaneotrichosporon	Clinical
TS-012	18 °C	T7	7	PD	Cutaneotrichosporon dermatis	0.78275	0.718	0.859	Cutaneotrichosporon	Clinical
TS-012	23 °C	T0	0	PD	Cutaneotrichosporon dermatis	0.0135625	0.0110625	0.0190625	Cutaneotrichosporon	Clinical
TS-012	23 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.011375	0.007625	0.013625	Cutaneotrichosporon	Clinical
TS-012	23 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.1231875	0.0534375	0.1654375	Cutaneotrichosporon	Clinical
TS-012	23 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.4939375	0.2711875	0.7001875	Cutaneotrichosporon	Clinical
TS-012	23 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.6176875	0.3954375	0.7654375	Cutaneotrichosporon	Clinical
TS-012	23 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.7108125	0.5308125	0.8448125	Cutaneotrichosporon	Clinical
TS-012	23 °C	T6	6	PD	Cutaneotrichosporon dermatis	0.7640625	0.6030625	0.8930625	Cutaneotrichosporon	Clinical
TS-012	23 °C	T7	7	PD	Cutaneotrichosporon dermatis	0.8303125	0.7255625	0.9285625	Cutaneotrichosporon	Clinical
TS-012	28 °C	T0	0	PD	Cutaneotrichosporon dermatis	0.0044375	0.0011875	0.0111875	Cutaneotrichosporon	Clinical
TS-012	28 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.049625	0.028875	0.088875	Cutaneotrichosporon	Clinical
TS-012	28 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.348625	0.282375	0.440375	Cutaneotrichosporon	Clinical
TS-012	28 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.7375625	0.6718125	0.7828125	Cutaneotrichosporon	Clinical
TS-012	28 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.8570625	0.7860625	0.9150625	Cutaneotrichosporon	Clinical
